Order_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,State,City,Area,Pincode,Order_Date,Delivery_Date,Product_ID,Product_Name,Category,Sub_Category,Brand,Item_Weight,Item_MRP,Selling_Price,Discount_Percentage,Quantity,Total_Amount,Payment_Method,Delivery_Status,Delivery_Time_Minutes,Customer_Rating,Feedback,Stock_Availability,Order_Status
ORD103700,CUST5921,Anthony Varma,22,Male,Delhi,New Delhi,Dwarka,234262,14-11-2025,16-11-2025,P917,Namkeen,Snacks,Snacks,Haldiram,0.19,628,563,10,3,1688,GPAY,Pending,23,3,Good,Out of Stock,Cancelled
ORD101762,CUST1304,Wriddhish Goda,56,Other,Delhi,New Delhi,Rohini,773629,09-01-2024,09-04-2024,P481,Frozen Peas,Frozen Food,Frozen Food,Safal,2.72,786,767,2,3,2301,GPAY,Returned,22,3,Damaged item,Out of Stock,Delivered
ORD100812,CUST8560,Varenya Wagle,79,Male,Karnataka,Mysore,VV Mohalla,203725,21-04-2025,24-04-2025,P770,Paneer,Dairy,Dairy,Mother Dairy,2.31,43,28,36,6,166,UPI,Delivered,5,2,Average,Out of Stock,Delivered
ORD104135,CUST6632,David Anand,24,Other,West Bengal,Kolkata,Park Street,385470,16-02-2024,19-02-2024,P126,Sugar,Grocery,Grocery,Madhur,4.64,515,394,24,7,2757,CASH,Pending,67,1,Excellent,In Stock,Pending
ORD103762,CUST2568,Upkaar Mall,21,Other,Maharashtra,Hyderbad,Sitabuldi,593348,22-05-2024,23-05-2024,P439,Soap,Personal Care,Personal Care,Dove,4.79,249,150,40,7,1047,GOOGLE PAY,Cancelled,84,3,Average,Limited,Delivered
ORD101059,CUST1548,Adweta Garde,63,Female,Telangana,Hyderabad, Madhapur ,574377,20-11-2024,23-11-2024,P465,Banana,Fruits & Vegetables,Fruits & Vegetables,FreshFarm,3.66,528,361,32,4,1444,UPI,Pending,43,3,Average,Out of Stock,Cancelled
ORD100738,CUST6837,Chandran Buch,25,Male,Karnataka,Bangalore,Indiranagar,814157,04-11-2025,07-11-2025,P181,Frozen Peas,Frozen Food,Frozen Food,Safal,1.9,101,98,4,4,520,CASH,Returned,75,5,Excellent,Out of Stock,Pending
ORD100564,CUST7172,Darika Sane,33,Male,Karnataka,Mysore,Gokulam,906377,24-10-2024,28-10-2024,P328,Chips,Snacks,Snacks,Lay's,1.77,353,309,13,6,1852,CASH ON DELIVERY,Returned,4,3,Damaged item,Limited,Delivered
ORD103432,CUST3287, Radhika Nigam ,21,Female,Maharashtra,Mumbai,Powai,745988,29-12-2025,31-12-2025,P625,Banana,Fruits & Vegetables,Fruits & Vegetables,FreshFarm,2.23,400,377,6,4,1506,CASH,Delivered,46,3,Excellent,In Stock,Returned
ORD100796,CUST2821,Chakrika Murty,51,Other,Delhi,New Delhi,Saket,85797,23-06-2024,27-06-2024,P246,Soap,Personal Care,Personal Care,Dove,0.45,663,633,4,6,3801,CASH ON DELIVERY,Returned,74,5,Average,Limited,Delivered
ORD100057,null,Madhavi Sahni,46,Male,West Bengal,Unknown,Howrah,766128,07-05-2025,09-05-2025,P457,Curd,Dairy,Dairy,Britannia,4.66,406,323,19,2,1488,Unknown,Pending,26,5,Average,In Stock,Pending
ORD103639,CUST4027,Chavvi Ramanathan,44,Female,Delhi,New Delhi,Dwarka,306209,02-02-2025,05-02-2025,P796,Cleaner,Household Items,Household Items,Lizol,1.03,584,391,33,7,2739,UPI,Returned,70,3,Excellent,In Stock,Delivered
ORD104751,CUST7297,Zaitra Hari,68,Female,Tamil Nadu,Chennai,Velachery,265562,13-06-2024,15-06-2024,P756,Soap,Personal Care,Personal Care,Dove,0.91,77,70,10,4,279,CASH,Returned,33,1,Excellent,Limited,Delivered
